#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Country,dwelings_without_percentage,housing_expenditure,rooms_per_person,household _nadi,household_net_wealth,lmi_percentage,employment_rate,lt_unemplotyment_rate,personal_earnings,quality_support_network,educational_attachment_percentage,student_scores,years_in_edu,mg_m3,water_quality_percentage,stakeholder_engagement,voter_turnout_pct,life_expectancy,self_support_health,life_satisfaction_score,safe_at_night,homicide_rate,employ_long_hours_pct,leisure_time
Australia,..,19.4,..,37433,528768,3.1,73,1,55206,93,84,499,20,6.7,92,2.7,92,83,85,7.1,67,0.9,12.5,14.36
Austria,0.8,20.8,1.6,37001,309637,2.3,72,1.3,53132,92,86,491,17,12.2,92,1.3,76,82,71,7.2,86,0.5,5.3,14.51
Belgium,0.7,20,2.1,34884,447607,2.4,65,2.3,54327,90,80,500,19,12.8,79,2,88,82.1,74,6.8,56,1.1,4.3,15.52
Canada,0.2,22.9,2.6,34421,478240,3.8,70,0.5,55342,93,92,517,17,7.1,90,2.9,68,82.1,89,7,78,1.2,3.3,14.57
Chile,9.4,18.4,1.9,..,135787,7,56,..,26729,88,67,438,17,23.4,62,1.3,47,80.6,60,6.2,41,2.4,7.7,..
Colombia,12.3,..,1,..,..,..,58,1.1,..,80,59,406,14,22.6,82,1.4,53,76.7,80,5.7,50,23.1,23.7,..
Costa Rica,2.3,17,1.2,16517,..,..,55,1.5,..,82,43,415,..,17.5,87,1.8,66,80.5,73,6.3,47,10,22,..
Czech Republic,0.5,23.4,1.5,26664,..,2.3,74,0.6,29885,96,94,495,18,17,89,1.6,62,79.3,62,6.9,77,0.7,4.5,..
Denmark,0.5,23.3,1.9,33774,149864,4.5,74,0.9,58430,95,82,501,19,10,93,2,85,81.5,70,7.5,85,0.5,1.1,..
Estonia,5.7,17,1.7,23784,188627,5.4,74,1.2,30720,95,91,526,18,5.9,86,2.7,64,78.8,57,6.5,79,1.9,2.2,14.98
Finland,0.4,23.1,1.9,33471,230032,2.2,72,1.2,46230,96,91,516,20,5.5,97,2.2,69,82.1,68,7.9,88,1.2,3.6,15.17
France,0.5,20.7,1.8,34375,298639,3.1,65,2.9,45581,94,81,494,17,11.4,78,2.1,75,82.9,67,6.7,74,0.4,7.7,16.2
Germany,0.1,20,1.8,38971,304317,1.4,77,1.2,53745,90,86,500,18,12,91,1.8,76,81.4,66,7.3,76,0.4,3.9,15.62
Greece,0.4,21.8,1.2,20791,148323,21.7,56,10.8,27207,78,76,453,19,14.5,67,1.8,58,81.7,79,5.8,69,1,4.5,15.03
Hungary,3.5,19.9,1.4,21026,150296,3.8,70,1.2,25409,94,86,479,16,16.7,81,1.2,70,76.4,58,6,74,0.9,1.5,15.08
Iceland,0,..,1.6,..,..,1,78,0.7,67488,98,76,481,19,6.4,97,2.1,81,83.2,77,7.6,85,0.3,11.7,..
Ireland,0.2,20.6,2.1,29488,370341,2.6,68,1.2,49474,96,85,505,18,7.8,80,1.3,63,82.8,84,7,76,0.5,4.7,14.54
Israel,..,..,1.2,..,..,4.6,67,0.2,39322,95,88,465,16,19.7,77,2.5,67,82.9,74,7.2,80,1.5,14.1,..
Italy,0.6,22.5,1.4,29431,295020,8.6,58,4.8,37769,89,63,477,17,15.9,77,2.5,73,83.6,73,6.5,73,0.5,3.3,16.47
Japan,6.4,21.8,1.9,28872,294735,2.7,77,0.8,38515,89,..,520,16,13.7,87,1.4,53,84.4,37,6.1,77,0.2,..,14.1
Korea,2.5,14.7,1.5,24590,362340,2.9,66,0,41960,80,89,520,17,27.3,82,2.9,77,83.3,34,5.8,82,0.8,..,14.83
Latvia,11.2,20.8,1.2,19783,79245,6.3,72,2.2,29876,92,89,487,18,12.7,83,2.2,55,75.5,47,6.2,72,3.7,1.6,..
Lithuania,11.8,18.4,1.5,26976,182039,..,72,2.5,31811,89,94,480,18,10.5,83,2.4,57,76.4,46,6.4,62,2.5,1,..
Luxembourg,0.1,20.7,2,44773,941162,2.2,67,1.7,65854,91,74,477,15,10,85,1.7,90,82.7,72,7.4,87,0.2,2.8,..
Mexico,25.9,17.8,1.1,16269,..,4,59,0.1,16230,77,42,416,15,20.3,75,3.2,63,75.1,66,6,42,26.8,27,..
Netherlands,0.1,19.6,2,34984,248599,2.5,78,0.9,58828,94,81,502,19,12.2,91,2.6,79,82.2,75,7.5,83,0.6,0.3,15.45
New Zealand,..,25,2.4,39024,514162,4.5,77,0.4,45269,95,81,503,18,6,85,2.5,82,82.1,86,7.3,66,1.3,14,14.87
